,team,rating
0,Michigan,17.40621300343572
1,Oregon,15.392781694266779
2,Georgia,15.39186805508735
3,Ohio State,15.12680939248703
4,Texas,12.812046500652949
5,Notre Dame,12.695744998615558
6,Penn State,11.958062362825235
7,Alabama,10.908154523962152
8,Kansas State,10.746523214506205
9,Florida State,9.747977733562816
10,Washington,9.338564361303204
11,Missouri,9.182381278938278
12,Oklahoma,8.3510529435002
13,LSU,8.167467759849051
14,Arizona,6.812449200353709
15,Ole Miss,5.639665737177036
16,Tennessee,4.6945527689162985
17,Oregon State,4.63554494209166
18,Louisville,3.0440963827237475
19,USC,2.8130233105007205
20,Troy,2.7668113690205414
21,Texas A&M,2.724684951514066
22,Clemson,2.1902261381189634
23,Maryland,2.070002090672726
24,Duke,1.9034174680733562
25,Kansas,1.6459007145941442
26,Miami,0.42223575351319326
27,James Madison,0.3543526200834336
28,Liberty,0.22036081937338092
29,Utah,-0.21629766371488335
30,UCLA,-0.26327488733798615
31,NC State,-0.2691050486196409
32,Kentucky,-0.3573958818610784
33,TCU,-1.0312500946613783
34,Iowa State,-1.1276816316884606
35,Washington State,-1.2909666608213588
36,Texas Tech,-1.4298123990106788
37,West Virginia,-1.447547103178056
38,Oklahoma State,-1.5290161970989269
39,SMU,-2.124783552065835
40,North Carolina,-2.1887167513461208
41,Boise State,-2.9262217634003145
42,Wisconsin,-2.950908510439637
43,Virginia Tech,-3.0018604312527453
44,Rutgers,-3.826721843845959
45,Florida,-3.900882612661643
46,Auburn,-3.973007539158064
47,Iowa,-4.148107336859142
48,Memphis,-4.592968186861074
49,Georgia Tech,-4.733431548360602
50,Northwestern,-4.874549976470411
51,UCF,-4.916048665590039
52,California,-4.94214637860597
53,South Carolina,-5.135828826832361
54,Air Force,-5.223237684847792
55,Appalachian State,-5.663661368924393
56,South Alabama,-5.873560549364747
57,Nebraska,-6.208024710723896
58,Toledo,-6.802101577318436
59,Colorado,-6.890742966208722
60,Miami (OH),-6.930281853919731
61,UT San Antonio,-7.201245849053905
62,UNLV,-7.664964310599705
63,San José State,-7.707271102024037
64,Fresno State,-7.954538267418216
65,Tulane,-8.133325272206957
66,Wyoming,-8.185202622330019
67,Coastal Carolina,-8.694351699816915
68,Arkansas,-8.797561465005575
69,Jacksonville State,-8.988222079353623
70,Western Kentucky,-9.713537304715791
71,Purdue,-9.79800044202413
72,Minnesota,-9.807135962955355
73,Ohio,-10.178913182766916
74,Illinois,-10.378339310519994
75,Bowling Green,-10.950668192599478
76,Texas State,-10.991058408239004
77,Mississippi State,-11.00492110192977
78,Louisiana,-11.028947984516657
79,BYU,-11.086858795320428
80,Boston College,-11.110878912612648
81,Arizona State,-11.157287677707421
82,New Mexico State,-11.219323443705171
83,Virginia,-11.34684869165537
84,Stanford,-11.472758337297838
85,Indiana,-11.799133571367301
86,Michigan State,-11.895253389294957
87,Wake Forest,-11.9896798109382
88,Georgia State,-12.012340759642637
89,Pittsburgh,-12.390492203127515
90,Houston,-12.586896278359806
91,Arkansas State,-12.589322563739803
92,Old Dominion,-12.804833544545978
93,Army,-13.553629118128363
94,Syracuse,-13.986429622205662
95,Northern Illinois,-14.8629271313513
96,Middle Tennessee,-14.916317009786287
97,Marshall,-15.159944330790196
98,Baylor,-15.55905097410253
99,Georgia Southern,-15.953014855160378
100,Cincinnati,-15.96153818584464
101,South Florida,-15.981286967383733
102,Rice,-16.085775756152383
103,Utah State,-16.238331920266766
104,Colorado State,-16.702854709452726
105,San Diego State,-16.829542953428508
106,North Texas,-17.682265686385783
107,Vanderbilt,-18.237691860578714
108,Navy,-18.283827183408494
109,Florida Atlantic,-18.8260748061737
110,Sam Houston State,-19.440039830784276
111,Southern Mississippi,-20.015377428250716
112,East Carolina,-20.21038791944455
113,Connecticut,-20.544454523004127
114,Buffalo,-20.572093117303435
115,Ball State,-20.874276307017187
116,Tulsa,-20.892661360910683
117,UTEP,-21.092545858133292
118,New Mexico,-21.101211975350417
119,Hawai'i,-21.50131932443374
120,UAB,-21.865932749951316
121,Central Michigan,-21.958315067216827
122,Western Michigan,-22.027383152975673
123,Louisiana Tech,-22.36654659667156
124,UMass,-22.37628933833395
125,Nevada,-23.06455458785674
126,Louisiana Monroe,-23.594310019873834
127,Eastern Michigan,-24.604273309548006
128,Charlotte,-25.349180637639275
129,Florida International,-25.867313907106553
130,Akron,-27.546429021060064
131,Temple,-28.234171513401225
132,Kent State,-34.56254641032544
